Browser,BrowserVersion,OS,OSVersion,DeviceType
Other,,Other,,Other
Apache-HttpClient,4.3,Other,,Bot
Apache-HttpClient,4.3.1,Other,,Bot
Apache-HttpClient,4.3.3,Other,,Bot
Apache-HttpClient,4.5,Other,,Bot
Apache-HttpClient,4.5.12,Other,,Bot
Apache-HttpClient,4.5.12,Other,,Bot
Apache-HttpClient,4.5.13,Other,,Bot
Apache-HttpClient,4.5.13,Other,,Bot
Apache-HttpClient,4.5.13,Other,,Bot
Apache-HttpClient,4.5.13,Other,,Bot
Apache-HttpClient,4.5.13,Other,,Bot
Apache-HttpClient,4.5.2,Other,,Bot
Apache-HttpClient,4.5.2,Other,,Bot
Apache-HttpClient,4.5.2,Other,,Bot
Apache-HttpClient,4.5.2,Other,,Bot
Apache-HttpClient,4.5.2,Other,,Bot
Apache-HttpClient,4.5.3,Other,,Bot
Apache-HttpClient,4.5.5,Other,,Bot
Apache-HttpClient,4.5.5,Other,,Bot
Apache-HttpClient,4.5.5,Other,,Bot
Apache-HttpClient,4.5.5,Other,,Bot
Apache-HttpClient,4.5.5,Other,,Bot
Apache-HttpClient,4.5.5,Other,,Bot
Apache-HttpClient,4.5.5,Other,,Bot
Apache-HttpClient,4.5.6,Other,,Bot
Apache-HttpClient,4.5.6,Other,,Bot
Apache-HttpClient,4.5.6,Other,,Bot
Apache-HttpClient,4.5.7,Other,,Bot
Apache-HttpClient,4.5.7,Other,,Bot
Apache-HttpClient,4.5.9,Other,,Bot
Apache-HttpClient,5.0.3,Other,,Bot
Safari,10600.6.3,Other,,Mobile
Baiduspider-render,2.0,Other,,Spider
Chrome,,Other,,Other
curl,7.29.0,Other,,Bot
curl,7.64.1,Other,,Bot
curl,7.75.0,Other,,Bot
curl,7.81.0,Other,,Bot
curl,8.1.2,Other,,Bot
Other,,Other,,Other
Other,,Android,9.0,Mobile
Other,,Other,,Other
facebookexternalhit,1.1,Other,,Bot
Other,,Other,,Other
Go-http-client,1.1,Other,,Bot
Go-http-client,2.0,Other,,Bot
Googlebot-Image,1.0,Other,,Spider
Googlebot-Video,1.0,Other,,Spider
Googlebot,2.1,Other,,Spider
Googlebot,2.1,Other,,Spider
Other,,Other,,Other
Java,1.8.0,Other,,Bot
Java,1.8.0,Other,,Bot
Java,1.8.0,Other,,Bot
Java,1.8.0,Other,,Bot
Java,1.8.0,Other,,Bot
Java,1.8.0,Other,,Bot
Java,1.8.0,Other,,Bot
Java,1.8.0,Other,,Bot
Java,1.8.0,Other,,Bot
Java,1.8.0,Other,,Bot
Java,1.8.0,Other,,Bot
Java,17.0.10,Other,,Bot
Jigsaw,2.2.5,Other,,Bot
libwww-perl,6.77,Other,,Bot
Other,,Linux,,Desktop
Other,,Other,,Other
Other,,Other,,Other
Other,,Other,,Other
Mozilla,3.0,Other,,Bot
Mozilla,4.0,Other,,Bot
bot,,Other,,Spider
Firefox,1.5.0.3,Windows,8.1,Desktop
IE,10.0,Windows,XP,Desktop
IE,6.0,Windows,XP,Desktop
IE,6.0,Other,,Other
IE,6.0,Windows,5.0,Desktop
IE,6.0,Windows,XP,Desktop
IE,6.0,Windows,XP,Desktop
IE,6.0,Windows,XP,Desktop
IE,6.0,Windows,5.2,Desktop
IE,7.0,Other,,Other
IE,7.0,Windows,10,Desktop
IE,7.0,Windows,10,Desktop
IE,7.0,Windows,10,Desktop
IE,7.0,Windows,10,Desktop
IE,7.0,Windows,XP,Desktop
IE,7.0,Windows,XP,Desktop
IE,7.0,Windows,XP,Desktop
Sogou,1.0,Windows,XP,Desktop
Maxthon,,Windows,XP,Desktop
Sogou,1.0,Windows,XP,Desktop
IE,7.0,Windows,XP,Desktop
IE,7.0,Windows,Vista,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
TheWorld,6,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,6.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
Sogou,1.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
Sogou,1.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
TheWorld,6,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
TheWorld,7,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
Sogou,1.0,Windows,7,Desktop
IE,7.0,Windows,7,Desktop
